"fips","pop2025","pop2020","state","stateCode","growthSince2020","name","county","slug","areaMi","densityMi","rank"
51037,11208,11542,"Virginia","VA",-0.028937792410327456,"Charlotte County","Charlotte County","virginia/charlotte-county",475,23.59578947368421,110
51081,10991,11386,"Virginia","VA",-0.03469172668189002,"Greensville County","Greensville County","virginia/greensville-county",295,37.257627118644066,111
51183,10991,10787,"Virginia","VA",0.018911652915546417,"Sussex County","Sussex County","virginia/sussex-county",490,22.430612244897958,112
51103,10965,10903,"Virginia","VA",0.005686508300467796,"Lancaster County","Lancaster County","virginia/lancaster-county",133,82.44360902255639,113
51119,10868,10614,"Virginia","VA",0.023930657622008633,"Middlesex County","Middlesex County","virginia/middlesex-county",130,83.6,114
51057,10534,10598,"Virginia","VA",-0.006038875259482879,"Essex County","Essex County","virginia/essex-county",257,40.988326848249024,115
51049,10132,9666,"Virginia","VA",0.04821022139457898,"Cumberland County","Cumberland County","virginia/cumberland-county",297,34.11447811447812,116
51159,9300,8919,"Virginia","VA",0.042717793474604804,"Richmond County","Richmond County","virginia/richmond-county",191,48.69109947643979,117
51115,8642,8518,"Virginia","VA",0.014557407842216374,"Mathews County","Mathews County","virginia/mathews-county",86,100.48837209302326,118
51620,8469,8146,"Virginia","VA",0.03965136263196656,"Franklin city","Franklin city","virginia/franklin-city",8,1058.625,119
51678,7572,7324,"Virginia","VA",0.03386127799016925,"Lexington city","Lexington city","virginia/lexington-city",2,3786,120
51157,7336,7320,"Virginia","VA",0.002185792349726823,"Rappahannock County","Rappahannock County","virginia/rappahannock-county",266,27.57894736842105,121
51640,6747,6715,"Virginia","VA",0.004765450483991129,"Galax city","Galax city","virginia/galax-city",8,843.375,122
51097,6732,6588,"Virginia","VA",0.021857923497267784,"King and Queen County","King and Queen County","virginia/king-and-queen-county",315,21.37142857142857,123
51181,6725,6551,"Virginia","VA",0.02656083040757129,"Surry County","Surry County","virginia/surry-county",279,24.10394265232975,124
51036,6694,6746,"Virginia","VA",-0.007708271568336755,"Charles City County","Charles City County","virginia/charles-city-county",183,36.5792349726776,125
51530,6560,6622,"Virginia","VA",-0.009362730292962862,"Buena Vista city","Buena Vista city","virginia/buena-vista-city",6,1093.3333333333333,126
51021,6261,6256,"Virginia","VA",0.0007992327365728968,"Bland County","Bland County","virginia/bland-county",358,17.488826815642458,127
51580,5369,5745,"Virginia","VA",-0.06544821583986071,"Covington city","Covington city","virginia/covington-city",5,1073.8,128
51595,5323,5707,"Virginia","VA",-0.06728578938146135,"Emporia city","Emporia city","virginia/emporia-city",7,760.4285714285714,129
51045,4813,4875,"Virginia","VA",-0.012717948717948735,"Craig County","Craig County","virginia/craig-county",328,14.673780487804878,130
51017,4031,4185,"Virginia","VA",-0.036798088410991636,"Bath County","Bath County","virginia/bath-county",529,7.6200378071833645,131
51720,3298,3681,"Virginia","VA",-0.10404781309426792,"Norton city","Norton city","virginia/norton-city",7,471.14285714285717,132
51091,2425,2240,"Virginia","VA",0.08258928571428581,"Highland County","Highland County","virginia/highland-county",415,5.843373493975903,133
